Promoted Product ID,Product ID,Promotion ID,Start Day,End Day
1,,,10/31/2022,3/9/2023
2,,,10/5/2022,2/9/2023
3,,,12/6/2022,8/2/2023
4,,,12/25/2022,6/23/2023
5,,,11/17/2022,8/4/2023
6,,,11/6/2022,12/6/2023
7,,,11/2/2022,11/2/2023
8,,,12/26/2022,3/15/2023
9,,,12/1/2022,4/12/2023
10,,,11/1/2022,11/10/2022
11,,,10/2/2022,2/2/2023
12,,,11/8/2022,3/14/2023
13,,,11/23/2022,3/29/2023
14,,,12/28/2022,1/21/2023
15,,,11/16/2022,11/23/2022
16,,,10/10/2022,9/4/2023
17,,,12/2/2022,1/13/2023
18,,,12/4/2022,8/29/2023
19,,,12/28/2022,6/10/2023
20,,,12/2/2022,3/30/2023
21,,,10/29/2022,12/3/2023
22,,,10/10/2022,2/15/2023
23,,,12/18/2022,2/22/2023
24,,,12/9/2022,11/15/2022
25,,,11/19/2022,12/21/2022
26,,,10/7/2022,6/18/2023
27,,,12/6/2022,8/19/2023
28,,,12/27/2022,11/16/2023
29,,,10/10/2022,10/17/2023
30,,,12/7/2022,1/31/2023
31,,,10/13/2022,9/14/2023
32,,,11/10/2022,11/18/2022
33,,,10/22/2022,9/11/2023
34,,,10/9/2022,4/18/2023
35,,,11/27/2022,2/11/2023
36,,,10/26/2022,3/11/2023
37,,,10/18/2022,4/28/2023
38,,,12/15/2022,10/19/2023
39,,,12/24/2022,2/10/2023
40,,,11/20/2022,8/21/2023
41,,,11/21/2022,11/23/2022
42,,,10/19/2022,2/8/2023
43,,,11/14/2022,8/26/2023
44,,,11/11/2022,11/16/2022
45,,,11/3/2022,12/20/2023
46,,,11/23/2022,2/6/2023
47,,,11/14/2022,12/1/2022
48,,,11/9/2022,5/23/2023
49,,,10/28/2022,9/4/2023
50,,,11/3/2022,9/1/2023
51,,,11/23/2022,2/9/2023
52,,,10/31/2022,10/31/2023
53,,,11/3/2022,9/8/2023
54,,,10/4/2022,10/5/2023
55,,,12/7/2022,7/25/2023
56,,,11/6/2022,7/16/2023
57,,,11/7/2022,8/5/2023
58,,,10/17/2022,12/4/2023
59,,,10/16/2022,10/30/2023
60,,,10/17/2022,8/4/2023
61,,,10/21/2022,2/18/2023
62,,,10/17/2022,1/29/2023
63,,,12/5/2022,4/8/2023
64,,,11/23/2022,1/29/2023
65,,,10/21/2022,11/24/2022
66,,,12/14/2022,2/19/2023
67,,,11/3/2022,7/29/2023
68,,,11/8/2022,3/24/2023
69,,,11/19/2022,7/4/2023
70,,,11/25/2022,2/10/2023
71,,,10/26/2022,9/22/2023
72,,,10/15/2022,11/23/2022
73,,,11/11/2022,1/19/2023
74,,,11/10/2022,3/21/2023
75,,,10/10/2022,2/21/2023
76,,,11/9/2022,3/24/2023
77,,,11/25/2022,10/27/2023
78,,,12/5/2022,11/8/2022
79,,,12/17/2022,2/1/2023
80,,,12/21/2022,7/7/2023
81,,,12/29/2022,5/11/2023
82,,,11/6/2022,2/1/2023
83,,,12/7/2022,10/27/2023
84,,,12/5/2022,4/8/2023
85,,,11/19/2022,11/19/2022
86,,,11/24/2022,1/12/2023
87,,,11/2/2022,7/21/2023
88,,,12/7/2022,2/18/2023
89,,,10/11/2022,9/19/2023
90,,,12/20/2022,3/8/2023
91,,,12/19/2022,12/24/2022
92,,,11/22/2022,9/6/2023
93,,,11/14/2022,6/23/2023
94,,,12/18/2022,12/21/2023
95,,,11/3/2022,7/28/2023
96,,,11/7/2022,8/9/2023
97,,,12/7/2022,12/7/2022
98,,,11/3/2022,12/20/2023
99,,,10/7/2022,10/1/2023
100,,,12/14/2022,10/30/2022
101,,,12/1/2022,11/15/2022
102,,,12/18/2022,3/13/2023
103,,,10/20/2022,12/12/2023
104,,,10/10/2022,11/18/2022
105,,,12/10/2022,11/20/2022
106,,,11/15/2022,11/9/2022
107,,,12/20/2022,5/18/2023
108,,,11/13/2022,10/6/2023
109,,,11/2/2022,1/18/2023
110,,,10/14/2022,11/26/2022
111,,,10/23/2022,7/21/2023
112,,,10/9/2022,5/31/2023
113,,,12/23/2022,12/23/2023
114,,,11/22/2022,11/30/2023
115,,,11/18/2022,2/5/2023
116,,,12/16/2022,5/3/2023
117,,,12/28/2022,11/24/2023
118,,,11/13/2022,4/18/2023
119,,,10/3/2022,1/13/2023
120,,,11/15/2022,4/29/2023
121,,,12/4/2022,10/10/2023
122,,,10/23/2022,8/10/2023
123,,,12/5/2022,7/17/2023
124,,,10/26/2022,12/24/2022
125,,,10/27/2022,10/13/2023
126,,,12/26/2022,11/16/2022
127,,,12/6/2022,7/9/2023
128,,,11/23/2022,8/7/2023
129,,,10/20/2022,12/5/2023
130,,,10/16/2022,6/15/2023
131,,,10/21/2022,11/11/2023
132,,,11/13/2022,1/25/2023
133,,,11/18/2022,6/14/2023
134,,,12/26/2022,11/4/2022
135,,,12/20/2022,8/10/2023
136,,,12/22/2022,6/3/2023
137,,,10/14/2022,10/18/2023
138,,,10/18/2022,8/7/2023
139,,,11/16/2022,12/6/2023
140,,,12/10/2022,12/16/2022
141,,,10/9/2022,12/27/2022
142,,,11/9/2022,5/6/2023
143,,,12/20/2022,5/9/2023
144,,,10/5/2022,7/9/2023
145,,,11/18/2022,7/21/2023
146,,,11/6/2022,10/13/2023
147,,,12/17/2022,3/26/2023
148,,,11/26/2022,11/3/2023
149,,,10/27/2022,6/5/2023
150,,,10/22/2022,6/22/2023
151,,,11/7/2022,1/29/2023
152,,,10/26/2022,12/9/2023
153,,,11/8/2022,2/27/2023
154,,,11/16/2022,12/5/2023
155,,,12/11/2022,11/27/2023
156,,,12/18/2022,12/29/2023
157,,,10/27/2022,9/20/2023
158,,,12/17/2022,2/15/2023
159,,,11/7/2022,11/19/2023
160,,,11/23/2022,9/20/2023
161,,,10/25/2022,8/19/2023
162,,,11/4/2022,4/15/2023
163,,,11/20/2022,2/27/2023
164,,,10/26/2022,1/11/2023
165,,,10/25/2022,8/7/2023
166,,,11/22/2022,6/4/2023
167,,,11/29/2022,12/7/2023
168,,,11/20/2022,12/20/2023
169,,,10/18/2022,4/29/2023
170,,,11/1/2022,12/19/2023
171,,,10/20/2022,11/27/2023
172,,,12/20/2022,12/2/2022
173,,,10/18/2022,11/22/2022
174,,,12/17/2022,3/14/2023
175,,,12/21/2022,9/7/2023
176,,,12/19/2022,9/25/2023
177,,,11/30/2022,2/23/2023
178,,,11/5/2022,5/18/2023
179,,,11/13/2022,10/28/2023
180,,,10/24/2022,2/3/2023
181,,,10/3/2022,12/8/2022
182,,,12/25/2022,12/18/2022
183,,,10/24/2022,10/15/2023
184,,,12/7/2022,11/11/2022
185,,,10/23/2022,3/28/2023
186,,,10/11/2022,8/10/2023
187,,,12/29/2022,9/4/2023
188,,,12/21/2022,3/24/2023
189,,,10/16/2022,10/5/2023
190,,,12/21/2022,6/15/2023
191,,,10/28/2022,12/18/2022
192,,,10/27/2022,11/4/2022
193,,,11/18/2022,12/17/2022
194,,,11/28/2022,11/17/2023
195,,,12/22/2022,10/14/2023
196,,,11/9/2022,10/3/2023
197,,,11/30/2022,2/4/2023
198,,,11/30/2022,12/18/2022
199,,,11/14/2022,7/1/2023
200,,,12/28/2022,11/2/2023
201,,,10/28/2022,6/1/2023
202,,,10/17/2022,5/15/2023
203,,,11/3/2022,2/2/2023
204,,,12/12/2022,3/31/2023
205,,,10/16/2022,6/17/2023
206,,,10/29/2022,11/22/2023
207,,,11/17/2022,10/14/2023
208,,,10/12/2022,1/15/2023
209,,,10/12/2022,1/12/2023
210,,,10/5/2022,11/26/2023
211,,,11/28/2022,9/13/2023
212,,,12/30/2022,11/9/2023
213,,,10/14/2022,10/14/2023
214,,,10/29/2022,9/2/2023
215,,,11/10/2022,4/24/2023
216,,,11/22/2022,3/10/2023
217,,,11/30/2022,10/30/2023
218,,,12/26/2022,11/20/2023
219,,,12/15/2022,11/11/2023
220,,,10/30/2022,4/16/2023
221,,,11/4/2022,6/22/2023
222,,,11/8/2022,5/23/2023
223,,,10/17/2022,7/19/2023
224,,,11/25/2022,12/25/2023
225,,,10/2/2022,11/5/2022
226,,,10/8/2022,10/14/2023
227,,,12/27/2022,12/21/2022
228,,,12/3/2022,7/6/2023
229,,,12/12/2022,10/15/2023
230,,,11/21/2022,12/5/2022
231,,,12/20/2022,12/15/2022
232,,,10/13/2022,3/22/2023
233,,,10/22/2022,10/6/2023
234,,,11/8/2022,4/15/2023
235,,,10/18/2022,8/4/2023
236,,,12/12/2022,9/9/2023
237,,,10/5/2022,2/18/2023
238,,,11/24/2022,10/11/2023
239,,,12/25/2022,8/21/2023
240,,,12/6/2022,5/12/2023
241,,,11/16/2022,8/30/2023
242,,,12/10/2022,12/17/2023
243,,,11/28/2022,3/11/2023
244,,,11/26/2022,4/5/2023
245,,,10/22/2022,12/7/2022
246,,,11/6/2022,8/14/2023
247,,,12/29/2022,10/30/2022
248,,,12/2/2022,7/18/2023
249,,,12/10/2022,7/14/2023
250,,,12/15/2022,4/23/2023
251,,,12/2/2022,4/26/2023
252,,,10/10/2022,6/23/2023
253,,,10/7/2022,4/26/2023
254,,,11/24/2022,6/26/2023
255,,,12/20/2022,8/31/2023
256,,,10/24/2022,5/6/2023
257,,,11/7/2022,10/14/2023
258,,,10/23/2022,9/16/2023
259,,,11/16/2022,7/25/2023
260,,,10/24/2022,12/29/2022
261,,,12/1/2022,11/2/2022
262,,,12/9/2022,7/22/2023
263,,,11/14/2022,11/20/2022
264,,,12/3/2022,4/24/2023
265,,,11/12/2022,7/27/2023
266,,,11/6/2022,5/1/2023
267,,,12/19/2022,11/15/2022
268,,,12/29/2022,12/14/2022
269,,,12/9/2022,11/9/2022
270,,,12/3/2022,7/23/2023
271,,,10/18/2022,12/28/2022
272,,,10/8/2022,3/5/2023
273,,,11/2/2022,4/14/2023
274,,,10/2/2022,3/6/2023
275,,,12/10/2022,8/23/2023
276,,,10/6/2022,12/5/2023
277,,,11/24/2022,5/29/2023
278,,,11/6/2022,8/16/2023
279,,,12/6/2022,11/21/2023
280,,,10/13/2022,2/21/2023
281,,,11/3/2022,11/21/2022
282,,,12/7/2022,4/24/2023
283,,,10/16/2022,10/23/2023
284,,,10/9/2022,2/19/2023
285,,,10/22/2022,7/4/2023
286,,,11/3/2022,3/8/2023
287,,,11/9/2022,4/25/2023
288,,,10/12/2022,4/17/2023
289,,,11/4/2022,12/26/2023
290,,,12/9/2022,12/6/2023
291,,,12/22/2022,6/15/2023
292,,,10/5/2022,12/31/2022
293,,,11/4/2022,3/16/2023
294,,,10/27/2022,9/1/2023
295,,,12/15/2022,11/9/2022
296,,,11/22/2022,7/11/2023
297,,,10/29/2022,2/1/2023
298,,,10/14/2022,4/29/2023
299,,,12/6/2022,12/19/2023
300,,,10/15/2022,2/11/2023
301,,,12/15/2022,8/19/2023
302,,,11/20/2022,12/8/2022
303,,,11/26/2022,6/18/2023
304,,,11/21/2022,9/3/2023
305,,,12/27/2022,5/18/2023
306,,,10/22/2022,4/14/2023
307,,,10/6/2022,3/7/2023
308,,,12/13/2022,7/21/2023
309,,,10/9/2022,12/1/2022
310,,,11/17/2022,3/24/2023
311,,,12/10/2022,3/26/2023
312,,,10/1/2022,12/20/2023
313,,,11/20/2022,11/24/2022
314,,,10/30/2022,11/6/2022
315,,,11/11/2022,10/22/2023
316,,,12/4/2022,10/9/2023
317,,,10/26/2022,12/28/2023
318,,,11/23/2022,7/29/2023
319,,,11/5/2022,2/25/2023
320,,,12/26/2022,10/30/2022
321,,,12/27/2022,1/17/2023
322,,,10/17/2022,4/19/2023
323,,,12/15/2022,9/13/2023
324,,,10/17/2022,8/3/2023
325,,,12/13/2022,12/15/2023
326,,,10/31/2022,12/16/2023
327,,,12/29/2022,8/1/2023
328,,,11/18/2022,1/17/2023
329,,,12/24/2022,12/18/2023
330,,,11/2/2022,2/12/2023
331,,,10/31/2022,12/11/2023
332,,,12/19/2022,5/21/2023
333,,,11/26/2022,5/31/2023
334,,,10/31/2022,8/7/2023
335,,,10/10/2022,5/1/2023
336,,,10/23/2022,3/27/2023
337,,,12/29/2022,1/29/2023
338,,,10/22/2022,7/22/2023
339,,,11/4/2022,10/10/2023
340,,,11/7/2022,4/28/2023
341,,,12/2/2022,8/1/2023
342,,,10/24/2022,9/6/2023
343,,,12/15/2022,12/21/2022
344,,,12/16/2022,12/7/2022
345,,,11/18/2022,4/5/2023
346,,,11/26/2022,8/14/2023
347,,,12/3/2022,6/29/2023
348,,,10/6/2022,4/16/2023
349,,,11/26/2022,6/4/2023
350,,,12/17/2022,2/4/2023
351,,,12/10/2022,3/19/2023
352,,,11/30/2022,11/29/2022
353,,,12/20/2022,12/1/2022
354,,,12/3/2022,10/18/2023
355,,,10/6/2022,2/25/2023
356,,,11/12/2022,4/16/2023
357,,,10/8/2022,10/23/2023
358,,,12/1/2022,5/7/2023
359,,,11/21/2022,2/8/2023
360,,,12/18/2022,12/20/2022
361,,,12/19/2022,11/29/2023
362,,,11/29/2022,1/11/2023
363,,,11/30/2022,10/20/2023
364,,,11/3/2022,4/2/2023
365,,,10/6/2022,4/24/2023
366,,,12/27/2022,12/26/2022
367,,,12/14/2022,8/21/2023
368,,,11/20/2022,10/7/2023
369,,,12/9/2022,4/17/2023
370,,,12/26/2022,6/12/2023
371,,,11/9/2022,11/12/2022
372,,,11/2/2022,11/6/2023
373,,,11/28/2022,11/4/2023
374,,,12/29/2022,5/13/2023
375,,,11/9/2022,6/26/2023
376,,,10/12/2022,4/2/2023
377,,,10/28/2022,1/15/2023
378,,,10/4/2022,8/13/2023
379,,,10/22/2022,9/26/2023
380,,,11/23/2022,9/22/2023
381,,,11/15/2022,1/26/2023
382,,,10/5/2022,4/29/2023
383,,,10/17/2022,12/1/2023
384,,,10/21/2022,11/28/2022
385,,,11/9/2022,9/23/2023
386,,,12/3/2022,6/20/2023
387,,,11/20/2022,4/1/2023
388,,,11/17/2022,7/16/2023
389,,,11/23/2022,10/8/2023
390,,,12/5/2022,10/31/2022
391,,,11/4/2022,11/28/2022
392,,,11/9/2022,5/22/2023
393,,,12/3/2022,12/1/2022
394,,,11/30/2022,4/21/2023
395,,,12/18/2022,10/22/2023
396,,,10/11/2022,1/22/2023
397,,,10/24/2022,10/21/2023
398,,,10/19/2022,12/20/2023
399,,,10/27/2022,7/18/2023
400,,,10/26/2022,4/2/2023
401,,,10/16/2022,11/16/2023
402,,,10/16/2022,4/5/2023
403,,,11/12/2022,3/8/2023
404,,,12/29/2022,10/3/2023
405,,,10/27/2022,4/14/2023
406,,,10/27/2022,5/12/2023
407,,,12/24/2022,6/11/2023
408,,,11/21/2022,11/21/2023
409,,,10/8/2022,3/6/2023
410,,,12/30/2022,11/30/2022
411,,,12/17/2022,1/31/2023
412,,,11/14/2022,6/18/2023
413,,,12/28/2022,7/16/2023
414,,,10/2/2022,6/3/2023
415,,,11/29/2022,7/18/2023
416,,,12/25/2022,1/27/2023
417,,,10/29/2022,2/13/2023
418,,,11/11/2022,12/21/2023
419,,,10/12/2022,5/31/2023
420,,,10/16/2022,11/27/2022
421,,,10/31/2022,1/3/2023
422,,,11/18/2022,9/20/2023
423,,,12/26/2022,1/23/2023
424,,,12/3/2022,7/21/2023
425,,,10/25/2022,4/19/2023
426,,,12/23/2022,1/18/2023
427,,,11/2/2022,11/24/2023
428,,,10/27/2022,4/24/2023
429,,,10/15/2022,2/28/2023
430,,,10/9/2022,4/27/2023
431,,,10/24/2022,8/28/2023
432,,,11/23/2022,8/29/2023
433,,,11/27/2022,12/4/2023
434,,,12/6/2022,6/26/2023
435,,,11/28/2022,11/17/2022
436,,,10/8/2022,3/28/2023
437,,,10/31/2022,8/11/2023
438,,,10/22/2022,12/25/2022
439,,,10/7/2022,3/21/2023
440,,,12/3/2022,7/24/2023
441,,,12/20/2022,1/25/2023
442,,,10/14/2022,6/4/2023
443,,,12/16/2022,8/27/2023
444,,,12/21/2022,5/1/2023
445,,,12/21/2022,11/1/2022
446,,,12/12/2022,11/20/2023
447,,,11/15/2022,9/23/2023
448,,,11/25/2022,12/6/2023
449,,,12/23/2022,7/12/2023
450,,,11/27/2022,10/10/2023
451,,,10/21/2022,11/1/2022
452,,,11/21/2022,12/8/2022
453,,,11/20/2022,11/16/2022
454,,,11/16/2022,6/24/2023
455,,,10/19/2022,11/10/2022
456,,,10/15/2022,9/30/2023
457,,,10/29/2022,6/14/2023
458,,,10/27/2022,8/1/2023
459,,,10/25/2022,3/25/2023
460,,,12/28/2022,2/2/2023
461,,,12/30/2022,5/11/2023
462,,,11/25/2022,12/31/2022
463,,,11/3/2022,6/8/2023
464,,,10/2/2022,11/11/2022
465,,,10/19/2022,8/16/2023
466,,,10/31/2022,3/29/2023
467,,,11/18/2022,7/30/2023
468,,,11/23/2022,3/28/2023
469,,,10/26/2022,9/1/2023
470,,,12/28/2022,11/9/2022
471,,,10/26/2022,9/23/2023
472,,,11/30/2022,4/30/2023
473,,,10/14/2022,10/29/2023
474,,,11/29/2022,11/15/2022
475,,,12/24/2022,12/23/2023
476,,,12/5/2022,11/17/2022
477,,,12/4/2022,6/7/2023
478,,,10/2/2022,8/9/2023
479,,,12/8/2022,5/7/2023
480,,,11/26/2022,1/28/2023
481,,,12/23/2022,11/4/2022
482,,,12/21/2022,2/24/2023
483,,,12/12/2022,11/19/2022
484,,,10/24/2022,11/14/2022
485,,,11/11/2022,6/11/2023
486,,,10/14/2022,7/10/2023
487,,,12/22/2022,3/10/2023
488,,,12/17/2022,2/21/2023
489,,,12/3/2022,11/13/2022
490,,,10/8/2022,9/16/2023
491,,,10/16/2022,11/4/2023
492,,,10/23/2022,3/6/2023
493,,,10/28/2022,12/7/2022
494,,,11/28/2022,4/18/2023
495,,,10/13/2022,11/2/2022
496,,,12/21/2022,1/28/2023
497,,,10/1/2022,12/21/2023
498,,,12/23/2022,7/24/2023
499,,,12/15/2022,1/28/2023
500,,,10/2/2022,12/7/2023
